upd   21 | step    43008 |    81 sps | ret     5.40 | succ 0.27 | mean_lvl 22.3 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.98 | kl +0.0126 | ent 2.712
upd   22 | step    45056 |    81 sps | ret     5.20 | succ 0.26 | mean_lvl 22.2 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.95 | kl +0.0085 | ent 2.715
upd   23 | step    47104 |    81 sps | ret     4.40 | succ 0.22 | mean_lvl 22.2 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.93 | kl +0.0079 | ent 2.928
upd   24 | step    49152 |    81 sps | ret     6.20 | succ 0.31 | mean_lvl 22.3 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.99 | kl +0.0028 | ent 2.930
upd   25 | step    51200 |    81 sps | ret     5.00 | succ 0.25 | mean_lvl 22.1 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.87 | kl +0.0027 | ent 2.982
upd   26 | step    53248 |    81 sps | ret     6.20 | succ 0.31 | mean_lvl 22.3 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.99 | kl +0.0016 | ent 2.984
upd   27 | step    55296 |    81 sps | ret     6.60 | succ 0.33 | mean_lvl 22.3 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.85 | kl +0.0021 | ent 3.125
upd   28 | step    57344 |    81 sps | ret     5.80 | succ 0.29 | mean_lvl 22.1 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.9 | kl +0.0022 | ent 3.140
upd   29 | step    59392 |    81 sps | ret     6.60 | succ 0.33 | mean_lvl 22.3 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.8 | kl +0.0016 | ent 3.026
upd   30 | step    61440 |    81 sps | ret     6.20 | succ 0.31 | mean_lvl 22.2 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.58 | kl +0.0036 | ent 3.020
upd   31 | step    63488 |    81 sps | ret     8.40 | succ 0.42 | mean_lvl 22.4 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.79 | kl +0.0029 | ent 2.976
upd   32 | step    65536 |    81 sps | ret     8.00 | succ 0.40 | mean_lvl 22.4 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.68 | kl +0.0036 | ent 2.968
upd   33 | step    67584 |    82 sps | ret     8.40 | succ 0.42 | mean_lvl 22.5 | max_lvl 24 | cur 5/9 pb 0.0 | focus (261,184) f=0.91 | kl +0.0027 | ent 2.896
upd   34 | step    69632 |    82 sps | ret     9.00 | succ 0.45 | mean_lvl 22.5 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.68 | kl +0.0010 | ent 2.855
upd   35 | step    71680 |    82 sps | ret     9.00 | succ 0.45 | mean_lvl 22.6 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.67 | kl +0.0016 | ent 2.774
upd   36 | step    73728 |    82 sps | ret    11.00 | succ 0.55 | mean_lvl 22.8 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.67 | kl +0.0019 | ent 2.692
upd   37 | step    75776 |    82 sps | ret     7.80 | succ 0.39 | mean_lvl 22.4 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.58 | kl +0.0024 | ent 2.606
upd   38 | step    77824 |    82 sps | ret     8.40 | succ 0.42 | mean_lvl 22.4 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.74 | kl +0.0055 | ent 2.526
upd   39 | step    79872 |    82 sps | ret     8.80 | succ 0.44 | mean_lvl 22.7 | max_lvl 24 | cur 5/9 pb 0.0 | focus (261,184) f=0.88 | kl +0.0034 | ent 2.353
upd   40 | step    81920 |    83 sps | ret    12.40 | succ 0.62 | mean_lvl 23.0 | max_lvl 24 | cur 5/9 pb 0.0 | focus (261,184) f=0.85 | kl +0.0029 | ent 2.202
upd   41 | step    83968 |    83 sps | ret     9.40 | succ 0.47 | mean_lvl 22.7 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.64 | kl +0.0025 | ent 2.116
upd   42 | step    86016 |    83 sps | ret    13.60 | succ 0.68 | mean_lvl 23.1 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.31 | kl +0.0046 | ent 1.961
upd   43 | step    88064 |    83 sps | ret     9.80 | succ 0.49 | mean_lvl 22.9 | max_lvl 24 | cur 5/9 pb 0.0 | focus (261,184) f=0.93 | kl +0.0026 | ent 1.833
upd   44 | step    90112 |    83 sps | ret    12.60 | succ 0.63 | mean_lvl 23.1 | max_lvl 24 | cur 5/9 pb 0.0 | focus (261,184) f=0.92 | kl +0.0025 | ent 1.713
upd   45 | step    92160 |    83 sps | ret    14.60 | succ 0.73 | mean_lvl 23.3 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.17 | kl -0.0001 | ent 1.653
upd   46 | step    94208 |    83 sps | ret    12.00 | succ 0.60 | mean_lvl 23.1 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.2 | kl +0.0019 | ent 1.549
upd   47 | step    96256 |    84 sps | ret    12.00 | succ 0.60 | mean_lvl 23.1 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.21 | kl +0.0043 | ent 1.432
upd   48 | step    98304 |    84 sps | ret    13.80 | succ 0.69 | mean_lvl 23.3 | max_lvl 24 | cur 5/9 pb 0.0 | focus (261,184) f=0.86 | kl +0.0024 | ent 1.310
upd   49 | step   100352 |    84 sps | ret     9.00 | succ 0.45 | mean_lvl 22.9 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0076 | ent 1.322
upd   50 | step   102400 |    84 sps | ret     7.80 | succ 0.39 | mean_lvl 22.8 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0068 | ent 1.468
saved checkpoints/L23\ppo_102400.pt
upd   51 | step   104448 |    84 sps | ret     7.60 | succ 0.38 | mean_lvl 22.7 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=0.99 | kl +0.0148 | ent 1.432
upd   52 | step   106496 |    84 sps | ret    10.60 | succ 0.53 | mean_lvl 23.0 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0064 | ent 1.386
upd   53 | step   108544 |    84 sps | ret     8.40 | succ 0.42 | mean_lvl 22.8 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0044 | ent 1.288
upd   54 | step   110592 |    84 sps | ret     9.20 | succ 0.46 | mean_lvl 22.9 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=0.99 | kl +0.0043 | ent 1.219
upd   55 | step   112640 |    84 sps | ret     8.00 | succ 0.40 | mean_lvl 22.7 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0010 | ent 1.197
upd   56 | step   114688 |    84 sps | ret     7.80 | succ 0.39 | mean_lvl 22.8 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0050 | ent 1.162
upd   57 | step   116736 |    84 sps | ret     9.00 | succ 0.45 | mean_lvl 22.9 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0034 | ent 1.156
upd   58 | step   118784 |    84 sps | ret     7.60 | succ 0.38 | mean_lvl 22.8 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0031 | ent 1.147
upd   59 | step   120832 |    84 sps | ret     9.20 | succ 0.46 | mean_lvl 22.8 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0043 | ent 1.107
upd   60 | step   122880 |    84 sps | ret     8.80 | succ 0.44 | mean_lvl 22.9 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0028 | ent 1.112
upd   61 | step   124928 |    84 sps | ret    10.80 | succ 0.54 | mean_lvl 23.1 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0032 | ent 1.076
upd   62 | step   126976 |    84 sps | ret     8.40 | succ 0.42 | mean_lvl 22.8 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0035 | ent 1.099
upd   63 | step   129024 |    84 sps | ret     8.20 | succ 0.41 | mean_lvl 22.8 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0041 | ent 1.072
upd   64 | step   131072 |    84 sps | ret     8.80 | succ 0.44 | mean_lvl 22.9 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0052 | ent 1.048
upd   65 | step   133120 |    84 sps | ret     8.00 | succ 0.40 | mean_lvl 22.8 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0002 | ent 1.052
upd   66 | step   135168 |    84 sps | ret     7.80 | succ 0.39 | mean_lvl 22.8 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0015 | ent 0.977
upd   67 | step   137216 |    84 sps | ret     8.80 | succ 0.44 | mean_lvl 22.9 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0029 | ent 0.970
upd   68 | step   139264 |    84 sps | ret     8.00 | succ 0.40 | mean_lvl 22.8 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0063 | ent 0.980
upd   69 | step   141312 |    84 sps | ret     9.40 | succ 0.47 | mean_lvl 22.9 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0012 | ent 0.953
upd   70 | step   143360 |    84 sps | ret     7.20 | succ 0.36 | mean_lvl 22.7 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0019 | ent 0.932
